,question,text_response,model_eval
0,"Normally,Over the last two weeks, how often have you experienced Depressed mood?",often,2
1,"Normally,Over the last two weeks, how often have you experienced Feelings of guilt?",often,2
2,"Normally,Over the last two weeks, how often have you experienced Suicidal thoughts?",often,2
3,"Normally,Over the last two weeks, how often have you experienced Difficulty falling asleep?",often,2
4,"Normally,Over the last two weeks, how often have you experienced Waking during the night?",often,2
5,"Normally,Over the last two weeks, how often have you experienced Waking during early hours of the morning?",often,2
6,"Normally,Over the last two weeks, how often have you experienced Impact on work and activities?",often,3
7,"Normally,Over the last two weeks, how often have you experienced Slowness in movements or speech?",often,2
8,"Normally,Over the last two weeks, how often have you experienced Agitation?",often,2
9,"Normally,Over the last two weeks, how often have you experienced Psychological anxiety?",often,2
10,"Normally,Over the last two weeks, how often have you experienced Physical complaints related to anxiety?",often,2
11,"Normally,Over the last two weeks, how often have you experienced Loss of appetite?",often,2
12,"Normally,Over the last two weeks, how often have you experienced General physical symptoms?",often,2
13,"Normally,Over the last two weeks, how often have you experienced Genital-sexual symptoms (loss of libido, impaired sexual performance, menstrual disturbance)?",often,2
14,"Normally,Over the last two weeks, how often have you experienced Health-related anxiety?",often,2
15,"Normally,Over the last two weeks, how often have you experienced Loss of weight?",Sometimes,2
16,"Normally,Over the last two weeks, how often have you experienced Lack of insight?",Sometimes,2
